Date,Open,High,Low,Close,Volume,Change
2025-07-22,2130,2270,1982,1987,21889900,
2025-07-23,1986,1989,1985,1987,770474,0.0
2025-07-24,1987,1997,1987,1997,333636,0.0050327126321088045
2025-07-25,1997,1997,1991,1993,186791,-0.0020030045067601643
2025-07-28,1993,1993,1990,1991,81455,-0.0010035122930256435
2025-07-29,1991,1992,1988,1990,71622,-0.0005022601707684871
2025-07-30,1988,1994,1988,1993,59989,0.0015075376884421399
2025-07-31,1993,1993,1990,1990,22097,-0.0015052684395383542
2025-08-01,1990,1992,1986,1988,50334,-0.0010050251256281673
2025-08-04,1988,1992,1987,1991,55721,0.0015090543259557165
2025-08-05,1991,1991,1989,1989,28714,-0.001004520341536863
2025-08-06,1989,1993,1988,1991,44050,0.0010055304172951196
2025-08-07,1991,1993,1988,1991,38279,0.0
2025-08-08,1991,1993,1988,1992,44912,0.0005022601707684871
2025-08-11,1992,1993,1988,1991,40721,-0.0005020080321285203
2025-08-12,1991,1995,1989,1994,37217,0.0015067805123054612
2025-08-13,1993,1994,1990,1991,20914,-0.0015045135406218657
2025-08-14,1991,1992,1990,1990,20940,-0.0005022601707684871
2025-08-18,1990,1996,1990,1996,63332,0.0030150753768845018
2025-08-19,1996,1997,1995,1996,20844,0.0
2025-08-20,1996,1996,1993,1996,33792,0.0
2025-08-21,1996,1996,1990,1992,23117,-0.002004008016032066
2025-08-22,1992,1996,1992,1995,21869,0.001506024096385561
2025-08-25,1996,1998,1993,1998,65786,0.0015037593984963404
2025-08-26,1998,1999,1993,1997,48019,-0.0005005005005005447
2025-08-27,1998,1999,1997,1998,48383,0.0005007511266901243
2025-08-28,1998,1998,1995,1998,13973,0.0
2025-08-29,1999,1999,1994,1999,12670,0.0005005005005005447
2025-09-01,1999,2000,1996,2000,32067,0.0005002501250626068
2025-09-02,1996,2000,1996,2000,22279,0.0
2025-09-03,1999,2005,1998,1998,52462,-0.0010000000000000009
2025-09-04,1998,2005,1997,2000,12911,0.0010010010010010895
2025-09-05,2000,2005,2000,2005,15042,0.0024999999999999467
2025-09-08,2005,2005,1998,2005,17071,0.0
2025-09-09,2000,2005,1999,2000,17487,-0.0024937655860348684
2025-09-10,2000,2005,1998,2000,11548,0.0
2025-09-11,2000,2005,2000,2005,6892,0.0024999999999999467
2025-09-12,2005,2005,1999,2005,2135,0.0
2025-09-15,2005,2005,2000,2005,12984,0.0
2025-09-16,2005,2005,2000,2005,27157,0.0
2025-09-17,2000,2005,2000,2005,7388,0.0
2025-09-18,2005,2007,2000,2005,22725,0.0
2025-09-19,2005,2005,1999,2000,34189,-0.0024937655860348684
2025-09-22,2000,2005,2000,2000,4798,0.0
2025-09-23,2005,2005,2000,2000,3019,0.0
2025-09-24,2000,2005,2000,2005,2982,0.0024999999999999467
2025-09-25,2000,2005,2000,2000,4465,-0.0024937655860348684
2025-09-26,2000,2002,2000,2000,10878,0.0
2025-09-29,2000,2005,2000,2005,18890,0.0024999999999999467
2025-09-30,2005,2005,1999,2005,9306,0.0
2025-10-01,2005,2005,2000,2005,2213,0.0
2025-10-02,2000,2005,2000,2005,11682,0.0
2025-10-10,2000,2005,1999,2005,3178,0.0
2025-10-13,2000,2000,1998,1999,4937,-0.0029925187032419087
2025-10-14,2000,2000,1998,1999,2777,0.0
2025-10-15,2000,2000,1997,2000,11530,0.0005002501250626068
2025-10-16,2000,2000,1997,1999,3296,-0.0004999999999999449
2025-10-17,1999,1999,1996,1996,8070,-0.0015007503751875984
2025-10-20,1998,2005,1996,2005,27354,0.0045090180360720655
2025-10-21,2000,2005,1996,2005,8999,0.0
2025-10-22,2000,2000,1999,1999,12544,-0.0029925187032419087
2025-10-23,2000,2005,2000,2005,16727,0.0030015007503751967
2025-10-24,1998,2005,1997,2005,8379,0.0
2025-10-27,2000,2005,2000,2005,5881,0.0
2025-10-28,2005,2010,2000,2010,38626,0.0024937655860348684
2025-10-29,2000,2010,2000,2010,18834,0.0
2025-10-30,2010,2010,2000,2010,24658,0.0
2025-10-31,2010,2010,2005,2010,1649,0.0
2025-11-03,2007,2010,1998,1998,20565,-0.005970149253731294
2025-11-04,2000,2005,1998,2000,25990,0.0010010010010010895
2025-11-05,1997,2005,1995,1995,25585,-0.0024999999999999467
2025-11-06,1997,2000,1995,1999,2547,0.002005012531328232
2025-11-07,2000,2000,1998,2000,1585,0.0005002501250626068
2025-11-10,1997,2005,1997,2000,7736,0.0
2025-11-11,2000,2005,2000,2005,5217,0.0024999999999999467
2025-11-12,2000,2005,1995,1996,56808,-0.0044887780548628076
2025-11-13,1997,1999,1996,1996,1369,0.0
2025-11-14,2005,2005,1995,1996,1356,0.0
2025-11-17,1996,1999,1995,1999,28745,0.0015030060120240218
2025-11-18,2000,2000,1991,1991,31890,-0.004002001000500299
2025-11-19,1993,2000,1991,1997,17668,0.0030135610246107003
2025-11-20,1995,1999,1995,1997,3880,0.0
2025-11-21,1997,1998,1993,1997,38400,0.0
2025-11-24,1992,2005,1992,1999,31711,0.0010015022533800266
2025-11-25,2005,2005,1995,1996,1162,-0.0015007503751875984
2025-11-26,1996,1997,1994,1997,6316,0.0005010020040079333
