Date,Open,High,Low,Close,Volume,Change
2025-12-16,45900,77000,38800,67000,30320190,
2025-12-17,63800,75500,47500,47500,7136780,-0.29104477611940294
2025-12-18,50000,56800,46650,48250,5905906,0.015789473684210575
2025-12-19,50400,53700,41250,43450,2476739,-0.09948186528497405
2025-12-22,41900,44500,38250,38750,951922,-0.10817031070195626
2025-12-23,39150,49600,33800,47200,5074714,0.21806451612903222
2025-12-24,47000,51600,42550,42550,2510493,-0.09851694915254239
2025-12-26,42500,45500,39400,39600,880911,-0.06933019976498234
2025-12-29,38850,41000,35850,36000,745314,-0.09090909090909094
2025-12-30,35950,42000,35350,37150,1985494,0.03194444444444455
2026-01-02,29000,34650,28950,31800,1434043,-0.14401076716016148
2026-01-05,32200,33400,29000,31000,326101,-0.02515723270440251
2026-01-06,32900,33500,31550,31800,388560,0.02580645161290329
2026-01-07,32200,32450,30000,30550,201208,-0.03930817610062898
2026-01-08,30750,32200,30200,30400,188032,-0.004909983633387904
2026-01-09,30300,30450,28750,28750,169647,-0.05427631578947367
2026-01-12,28950,30700,27600,28650,272567,-0.003478260869565264
2026-01-13,28800,29150,27500,27500,138637,-0.04013961605584637
2026-01-14,27250,27400,26050,26050,160028,-0.052727272727272734
2026-01-15,26550,28450,26200,27600,307221,0.05950095969289837
2026-01-16,26250,26500,24750,25450,474165,-0.0778985507246377
2026-01-19,25600,26400,25100,25900,205403,0.017681728880157177
2026-01-20,26000,29900,25650,29500,794053,0.13899613899613894
2026-01-21,28000,28900,27500,28400,232753,-0.037288135593220306
2026-01-22,30350,34450,29300,32400,921683,0.14084507042253525
2026-01-23,36100,37950,34650,35350,735391,0.09104938271604945
2026-01-26,33700,37250,31650,35800,539344,0.012729844413012836
2026-01-27,34200,37200,33500,34700,336904,-0.030726256983240274
2026-01-28,35650,44500,34500,42200,3172073,0.21613832853025938
2026-01-29,41400,42650,39950,40550,456381,-0.0390995260663507
2026-01-30,41450,42600,38800,38800,437811,-0.04315659679408135
2026-02-02,47450,49450,43950,47600,2266549,0.2268041237113403
2026-02-03,46100,50900,44450,47800,1460831,0.004201680672268893
2026-02-04,46300,46700,45600,45950,265546,-0.03870292887029292
2026-02-05,43950,44100,39000,39500,400366,-0.14036996735582152
2026-02-06,36750,38350,34850,36050,502204,-0.08734177215189876
2026-02-09,37200,37950,35900,36450,306349,0.01109570041608876
2026-02-10,37700,45050,37200,44000,2264573,0.20713305898491075
2026-02-11,42700,57200,41200,56600,4638300,0.2863636363636364
2026-02-12,54500,54800,50100,51700,1706658,-0.08657243816254412
2026-02-13,49950,52200,47000,47000,956973,-0.09090909090909094
2026-02-19,47950,51300,47500,47700,1057063,0.014893617021276562
2026-02-20,47950,49850,44900,45400,664439,-0.048218029350104774
2026-02-23,45800,49950,43100,44100,1017008,-0.028634361233480177
2026-02-24,43800,45300,43000,44500,399272,0.009070294784580435
2026-02-25,44900,46150,42200,42250,544267,-0.050561797752809
2026-02-26,43050,48150,43000,45150,1591187,0.06863905325443787
2026-02-27,44150,44450,40500,40900,537473,-0.09413067552602439
2026-03-03,38950,41650,37700,37700,305963,-0.07823960880195602
2026-03-04,34850,37500,29500,29500,416291,-0.2175066312997348
2026-03-05,32400,34500,32000,33650,366888,0.1406779661016948
2026-03-06,33200,35450,32100,34500,206138,0.02526002971768193
2026-03-09,32100,33400,30600,32550,162135,-0.05652173913043479
2026-03-10,34000,34500,32100,32950,172102,0.01228878648233489
2026-03-11,33450,39350,33300,37750,652957,0.14567526555386956
2026-03-12,38250,39550,37000,38500,295643,0.019867549668874274
2026-03-13,40250,48850,39850,42850,3203536,0.11298701298701297
2026-03-16,40800,48475,40450,45650,2993245,0.06534422403733964
2026-03-17,46450,47450,43950,44750,815688,-0.019715224534501696
2026-03-18,45250,45700,41050,41450,705910,-0.07374301675977657
2026-03-19,40000,42350,38750,38800,364894,-0.06393244873341375
2026-03-20,39400,39600,38050,38800,263307,0.0
2026-03-23,37250,37550,34800,34900,298532,-0.10051546391752575
2026-03-24,36350,38450,34000,36000,293150,0.03151862464183375
2026-03-25,37000,37925,35800,36300,191674,0.008333333333333304
2026-03-26,36400,36950,34050,34550,202842,-0.04820936639118456
2026-03-27,33250,34700,32850,34250,129075,-0.00868306801736618
2026-03-30,32200,32700,30950,31500,135306,-0.08029197080291972
2026-03-31,31100,36450,29950,31450,919738,-0.0015873015873015817
2026-04-01,33000,33850,32550,33550,176585,0.06677265500794904
2026-04-02,34250,35200,30500,31000,294721,-0.07600596125186287
2026-04-03,32050,32550,30400,31050,121282,0.001612903225806539
2026-04-06,31100,33450,29700,31550,262599,0.016103059581320522
2026-04-07,31950,39950,31200,37650,3697282,0.1933438985736926
2026-04-08,39100,39650,36900,37400,607524,-0.006640106241699861
2026-04-09,37800,37800,34150,34300,360852,-0.08288770053475936
2026-04-10,36600,39450,35950,36000,961558,0.04956268221574334
2026-04-13,35150,36800,34500,35850,237853,-0.004166666666666652
2026-04-14,37450,43850,36500,40850,2348593,0.13947001394700131
2026-04-15,41300,41700,39450,39800,459274,-0.025703794369645094
2026-04-16,40650,41400,39150,39500,464556,-0.007537688442211032
2026-04-17,39500,41100,39050,40400,350526,0.022784810126582178
2026-04-20,40500,41750,39500,39700,324106,-0.017326732673267342
2026-04-21,39800,40700,37100,37150,366752,-0.0642317380352645
2026-04-22,37150,37550,35750,36950,214534,-0.0053835800807536804
2026-04-23,37150,37650,35200,36150,262301,-0.021650879566982417
2026-04-24,36500,36950,35900,36350,151225,0.0055325034578146415
2026-04-27,36550,38500,36300,37950,230323,0.044016506189821225
2026-04-28,39050,42500,38250,40000,1170712,0.05401844532279321
2026-04-29,39800,39800,37900,38400,290715,-0.040000000000000036
2026-04-30,38200,41400,38100,38800,512096,0.01041666666666674
2026-05-04,39550,41300,39050,40800,454543,0.05154639175257736
2026-05-06,40800,40900,38650,39000,272470,-0.044117647058823484
2026-05-07,39150,39700,36450,36550,283797,-0.06282051282051282
2026-05-08,36550,37500,35550,35900,182937,-0.017783857729138153
