Date,Open,High,Low,Close,Volume,Change
2021-05-31,87600,91200,87600,91200,14172,0.0316742081447964
2021-06-01,91200,92400,90200,92000,7240,0.0087719298245614
2021-06-02,91800,92100,90800,92100,8938,0.001086956521739
2021-06-03,92400,92400,90200,92400,4866,0.003257328990228
2021-06-04,92200,92200,90700,91500,6800,-0.0097402597402597
2021-06-07,91500,91700,90700,91600,4828,0.0010928961748633
2021-06-08,91600,91800,90600,91800,9144,0.002183406113537
2021-06-09,92000,92000,90000,90000,7267,-0.0196078431372549
2021-06-10,90000,90700,89700,90600,7340,0.0066666666666665
2021-06-11,91000,91000,89500,90500,7649,-0.0011037527593819
2021-06-14,90500,90500,89300,90300,2957,-0.0022099447513812
2021-06-15,90300,90300,88500,88700,9865,-0.0177187153931339
2021-06-16,88500,89400,88500,89100,6182,0.004509582863585
2021-06-17,89000,89900,87900,89900,8658,0.0089786756453422
2021-06-18,89800,91200,89100,89100,7226,-0.0088987764182424
2021-06-21,89900,89900,87700,88800,6393,-0.0033670033670033
2021-06-22,89000,89900,88500,89900,3986,0.0123873873873874
2021-06-23,89500,89900,88700,89800,4857,-0.0011123470522803
2021-06-24,89400,89800,88400,89400,9325,-0.0044543429844098
2021-06-25,89400,89800,89100,89800,5589,0.0044742729306488
2021-06-28,89800,91200,89000,91100,7806,0.0144766146993318
2021-06-29,91100,91100,89700,89900,5185,-0.0131723380900109
2021-06-30,89900,90300,89300,90300,5393,0.0044493882091212
2021-07-01,90300,90400,88700,89500,13828,-0.0088593576965669
2021-07-02,89000,89500,88000,88000,9025,-0.0167597765363128
2021-07-05,88400,88400,87500,87500,3741,-0.0056818181818182
2021-07-06,87900,88300,87500,87900,3090,0.0045714285714286
2021-07-07,87900,87900,85700,86900,13885,-0.0113765642775881
2021-07-08,86900,86900,85600,86500,4861,-0.0046029919447641
2021-07-09,85500,85800,83500,84700,13881,-0.0208092485549132
2021-07-12,84200,85800,84200,85800,3648,0.0129870129870128
2021-07-13,85200,87400,85200,87400,3764,0.0186480186480186
2021-07-14,86800,87400,86400,87400,6651,0.0
2021-07-15,86600,89300,86600,89300,7755,0.0217391304347827
2021-07-16,89000,89000,87900,88500,3644,-0.0089585666293393
2021-07-19,88400,88400,87100,87500,2601,-0.0112994350282485
2021-07-20,86300,87000,85900,86800,4504,-0.008
2021-07-21,86500,87000,84500,85200,5509,-0.0184331797235023
2021-07-22,85200,86300,85200,86100,2383,0.0105633802816902
2021-07-23,86500,86500,85700,86000,1492,-0.0011614401858304
2021-07-26,86800,86800,85600,85800,2060,-0.0023255813953488
2021-07-27,86500,86900,85500,86000,5185,0.0023310023310023
2021-07-28,85500,85900,83700,85300,11202,-0.0081395348837208
2021-07-29,85500,87500,84800,86100,18887,0.0093786635404455
2021-07-30,86500,86500,84700,85300,9524,-0.0092915214866434
2021-08-02,85200,86000,85100,85700,6348,0.0046893317702227
2021-08-03,85100,85900,83900,84700,13591,-0.0116686114352392
2021-08-04,84300,86300,84200,86100,15717,0.0165289256198346
2021-08-05,86200,86200,85100,85800,4463,-0.0034843205574912
2021-08-06,86300,87000,85700,86700,3414,0.0104895104895104
2021-08-09,86700,86700,84900,84900,14164,-0.0207612456747404
2021-08-10,85500,86000,84700,85300,28849,0.0047114252061248
2021-08-11,85500,85500,83000,84500,11444,-0.0093786635404454
2021-08-12,84700,84800,83600,84700,6335,0.0023668639053253
2021-08-13,84000,84500,82500,83700,10519,-0.0118063754427391
2021-08-17,83200,83800,81100,82200,7371,-0.0179211469534049
2021-08-18,81300,84000,81300,83900,6479,0.0206812652068126
2021-08-19,83700,83700,80500,80600,12322,-0.0393325387365911
2021-08-20,80800,81500,78000,79400,14771,-0.0148883374689826
2021-08-23,79900,81500,79400,80800,5643,0.0176322418136021
2021-08-24,81400,82900,81400,82500,4851,0.0210396039603959
2021-08-25,82900,84100,81600,84100,4621,0.0193939393939392
