Date,Open,High,Low,Close,Volume,Change
2026-04-03,8030,10370,8030,9070,41494781,
2026-04-06,8900,11790,8080,11070,28484192,0.2205071664829108
2026-04-07,10250,13100,10080,10120,30353546,-0.085817524841915
2026-04-08,10360,11060,9650,9650,10403297,-0.0464426877470355
2026-04-09,9970,10270,8530,8590,2950951,-0.1098445595854922
2026-04-10,8600,9850,8300,8460,5641907,-0.0151338766006985
2026-04-13,8600,8900,8340,8340,989114,-0.0141843971631205
2026-04-14,8400,10410,8290,9390,12042322,0.1258992805755396
2026-04-15,9460,10150,9090,9150,3306971,-0.0255591054313099
2026-04-16,9160,9380,8470,8500,920771,-0.0710382513661201
2026-04-17,8500,9450,8260,8370,2077823,-0.0152941176470587
2026-04-20,8370,8690,6770,7780,3457997,-0.070489844683393
2026-04-21,7870,8280,7260,7310,1003697,-0.0604113110539845
2026-04-22,7240,7690,6940,6960,823558,-0.0478796169630643
2026-04-23,7040,7430,6850,6910,1160910,-0.007183908045977
2026-04-24,7000,7130,6780,6830,554885,-0.0115774240231548
2026-04-27,6950,7020,6790,6800,465540,-0.0043923865300146
2026-04-28,6850,7150,6540,6650,984796,-0.0220588235294117
2026-04-29,6620,6800,6510,6520,497567,-0.019548872180451
2026-04-30,6560,6570,6000,6010,599483,-0.0782208588957055
2026-05-04,5980,6120,5670,5970,643204,-0.0066555740432612
2026-05-06,5990,6350,5840,6000,918780,0.0050251256281406
2026-05-07,6100,6100,5500,5520,574452,-0.0799999999999999
2026-05-08,5500,5700,5190,5250,445626,-0.0489130434782608
2026-05-11,5250,5310,5100,5140,241646,-0.0209523809523809
2026-05-12,5200,5250,4835,4955,450631,-0.0359922178988326
2026-05-13,4960,5500,4960,5060,1060448,0.0211907164480322
2026-05-14,5100,5340,5020,5100,488742,0.0079051383399209
2026-05-15,5190,5200,4270,4330,666092,-0.1509803921568627
2026-05-18,4325,4390,3895,4055,510805,-0.0635103926096998
2026-05-19,4040,4140,3820,3950,212569,-0.0258939580764487
2026-05-20,3950,4100,3750,3830,144037,-0.030379746835443
2026-05-21,3920,4050,3850,3850,257728,0.0052219321148825
2026-05-22,3860,4150,3860,4025,250094,0.0454545454545454
2026-05-26,4150,4240,3970,4020,326283,-0.0012422360248447
2026-05-27,4020,4020,3690,3725,209483,-0.0733830845771144
2026-05-28,3700,3925,3425,3565,290758,-0.0429530201342281
2026-05-29,3520,3675,3075,3225,522671,-0.0953716690042075
2026-06-01 00:00:00,3175,3220,3050,3065,103816,-0.0496124031007751
2026-06-01 00:00:00,3175,3220,2975,3125,221250,-0.03100775193798455
