Date,Open,High,Low,Close,Volume,Change
2026-04-29,15250,30750,15250,22550,120931015,
2026-04-30,24000,25700,21150,21150,24034073,-0.06208425720620847
2026-05-04,21400,21800,19800,19980,5546390,-0.05531914893617018
2026-05-06,20100,20600,17080,17170,5308190,-0.14064064064064064
2026-05-07,17000,21050,16490,17540,16268273,0.021549213744903817
2026-05-08,18070,19780,17700,18310,9421355,0.043899657924743485
2026-05-11,18340,19280,17500,17520,2340713,-0.04314582195521577
2026-05-12,17520,18400,16070,16160,1926897,-0.07762557077625576
2026-05-13,16160,18300,16160,16630,2886851,0.029084158415841666
2026-05-14,17020,19000,17020,17800,5152687,0.07035478051713762
2026-05-15,17800,17890,16030,16270,1566816,-0.08595505617977528
2026-05-18,16100,16180,14510,15030,984802,-0.07621389059618933
2026-05-19,15110,15300,13650,13750,1071922,-0.08516300731869597
2026-05-20,13320,13700,12490,12580,849468,-0.0850909090909091
2026-05-21,12750,14230,12750,13760,890552,0.09379968203497624
2026-05-22,13700,14110,13350,13640,473834,-0.008720930232558155
2026-05-26,13810,14930,13690,14160,823750,0.038123167155425186
2026-05-27,14200,14340,12810,12830,443898,-0.09392655367231639
