Date,Open,High,Low,Close,Volume,Change
2025-12-22,22900,25600,18830,19210,21435310,
2025-12-23,20300,22000,17010,17280,7976129,-0.1004685059864654
2025-12-24,17220,17960,15280,15520,3203374,-0.1018518518518518
2025-12-26,15950,18850,15700,16880,7193247,0.0876288659793813
2025-12-29,17030,17950,15560,15590,1620180,-0.0764218009478673
2025-12-30,15500,15530,13850,13910,919292,-0.1077613855035278
2026-01-02,13910,14480,13290,13320,453500,-0.0424155283968368
2026-01-05,13290,13300,12460,12460,484435,-0.0645645645645646
2026-01-06,11380,12150,11300,11550,1899970,-0.0730337078651685
2026-01-07,11750,12440,11380,11430,1199268,-0.0103896103896103
2026-01-08,11320,12440,10740,10930,1362025,-0.0437445319335083
2026-01-09,11050,11920,11010,11130,984993,0.0182982616651417
2026-01-12,11160,11800,10970,11050,586339,-0.0071877807726864
2026-01-13,11040,11520,11030,11160,397160,0.0099547511312216
2026-01-14,11300,11320,10690,10700,290068,-0.0412186379928315
2026-01-15,10830,10900,10310,10370,337159,-0.0308411214953271
2026-01-16,10550,10940,10320,10370,356056,0.0
2026-01-19,10380,10470,10050,10070,246956,-0.0289296046287367
2026-01-20,10070,10380,9900,10080,291311,0.0009930486593843
2026-01-21,10000,10000,9290,9330,374221,-0.0744047619047618
2026-01-22,8900,9270,8210,8500,1827959,-0.0889603429796356
2026-01-23,8550,8890,8440,8520,650551,0.0023529411764706
2026-01-26,8540,8650,8370,8470,330432,-0.0058685446009389
2026-01-27,8550,8660,8310,8500,310751,0.0035419126328217
2026-01-28,8570,9100,8400,8740,638265,0.0282352941176471
2026-01-29,8830,8850,8430,8570,344036,-0.0194508009153318
2026-01-30,8610,8950,8360,8430,798282,-0.0163360560093348
2026-02-02,8400,8620,8040,8100,301217,-0.0391459074733095
2026-02-03,8180,9490,8140,8860,2687011,0.0938271604938272
2026-02-04,8900,10600,8740,10080,4797952,0.1376975169300225
2026-02-05,10090,11440,9800,9900,4028518,-0.0178571428571429
2026-02-06,9910,10000,9240,9290,544603,-0.0616161616161615
2026-02-09,9500,9650,8930,8970,425234,-0.0344456404736275
2026-02-10,8970,9250,8890,8980,208390,0.0011148272017837
2026-02-11,9000,9060,8830,8880,186237,-0.0111358574610245
2026-02-12,8920,11520,8800,11080,6743351,0.2477477477477476
2026-02-13,10740,13800,10080,11210,11356582,0.0117328519855595
2026-02-19,11280,12500,10980,11340,4762619,0.0115967885816234
2026-02-20,11390,12400,11090,11480,3204597,0.0123456790123457
2026-02-23,11570,13140,11560,12300,6764601,0.0714285714285714
2026-02-24,12300,12780,11860,11970,1649766,-0.0268292682926829
2026-02-25,11970,12200,11100,11100,877574,-0.0726817042606516
2026-02-26,11200,11540,10820,10950,568785,-0.0135135135135134
2026-02-27,10940,10980,10510,10790,377605,-0.0146118721461186
2026-03-03,10500,10610,10010,10010,354916,-0.072289156626506
2026-03-04,9720,9800,8040,8160,571008,-0.1848151848151847
2026-03-05,8750,9150,8610,8920,320426,0.0931372549019606
2026-03-06,8890,9260,8530,8790,180394,-0.0145739910313901
2026-03-09,8380,8530,7900,8150,258003,-0.0728100113765642
2026-03-10,8440,9690,8220,8470,826288,0.0392638036809815
2026-03-11,8510,9060,8430,8650,282438,0.0212514757969304
2026-03-12,8700,9540,8600,8900,349639,0.0289017341040462
2026-03-13,8780,9160,8660,8740,181240,-0.0179775280898876
2026-03-16,8780,8840,8550,8590,101797,-0.017162471395881
2026-03-17,8630,8790,8540,8600,93513,0.0011641443538998
2026-03-18,8650,8790,8600,8640,109206,0.0046511627906977
2026-03-19,8460,8560,8330,8330,100368,-0.0358796296296296
2026-03-20,8360,8560,8290,8470,90362,0.0168067226890755
2026-03-23,8130,8210,7690,7740,286820,-0.0861865407319952
2026-03-24,8000,8070,7580,7700,158521,-0.0051679586563307
2026-03-25,7740,8020,7730,7930,93673,0.0298701298701298
2026-03-26,8090,8180,7700,7710,84079,-0.0277427490542244
2026-03-27,7800,7940,7540,7840,80997,0.0168612191958494
2026-03-30,7550,7790,7450,7660,53833,-0.0229591836734693
2026-03-31,7420,8470,7420,7550,458954,-0.0143603133159269
2026-04-01,7650,7930,7650,7800,190685,0.0331125827814569
2026-04-02,7930,7940,7230,7240,196175,-0.0717948717948717
2026-04-03,7300,7460,7290,7420,56688,0.0248618784530387
2026-04-06,7320,7420,7250,7260,60105,-0.0215633423180593
2026-04-07,7280,7720,7240,7250,129445,-0.0013774104683195
2026-04-08,7390,7700,7390,7600,100336,0.0482758620689656
2026-04-09,7590,7590,7400,7460,52190,-0.0184210526315788
2026-04-10,7510,7720,7390,7690,78849,0.0308310991957103
2026-04-13,7580,7760,7450,7640,57995,-0.0065019505851755
2026-04-14,7760,7760,7650,7660,55717,0.0026178010471205
2026-04-15,7730,7850,7660,7780,95389,0.0156657963446475
2026-04-16,7800,7950,7780,7790,84823,0.0012853470437017
2026-04-17,7790,7900,7640,7680,58636,-0.0141206675224646
2026-04-20,7610,7800,7580,7700,41180,0.0026041666666667
2026-04-21,7700,7890,7600,7620,56400,-0.0103896103896103
2026-04-22,7620,7620,7480,7530,62459,-0.0118110236220472
2026-04-23,7540,7680,7470,7600,78163,0.0092961487383798
2026-04-24,7600,7770,7530,7680,80770,0.0105263157894737
2026-04-27,7690,7820,7680,7690,77420,0.0013020833333332
2026-04-28,7700,7700,7550,7550,45356,-0.0182054616384915
2026-04-29,7550,7600,7420,7510,45157,-0.005298013245033
2026-04-30,7520,7600,7340,7350,66717,-0.0213049267643142
2026-05-04,7380,7570,7330,7360,55312,0.0013605442176871
2026-05-06,7370,7370,7080,7120,154164,-0.0326086956521739
2026-05-07,7130,7200,6890,6940,112430,-0.0252808988764045
2026-05-08,6910,7080,6890,7040,66484,0.0144092219020173
2026-05-11,7040,7110,6690,6760,112321,-0.0397727272727272
2026-05-12,6760,8100,6400,6590,2000946,-0.0251479289940828
2026-05-13,6780,7400,6510,6880,446159,0.0440060698027313
2026-05-14,7000,7180,6810,6850,127620,-0.004360465116279
2026-05-15,6870,7350,6590,6700,329800,-0.021897810218978
2026-05-18,6710,6810,6080,6580,79760,-0.0179104477611939
2026-05-19,6480,6580,6320,6440,100171,-0.0212765957446808
2026-05-20,6330,6430,6130,6180,102035,-0.0403726708074534
2026-05-21,6190,6500,6190,6280,80276,0.0161812297734627
2026-05-22,6280,6510,6280,6470,67891,0.0302547770700636
2026-05-26,6470,6740,6370,6370,69617,-0.0154559505409582
2026-05-27,6320,6440,6090,6120,121648,-0.0392464678178964
2026-05-28,6090,6200,5900,6150,68329,0.0049019607843137
2026-05-29,6200,6230,5800,5970,89748,-0.0292682926829268
