Date,Open,High,Low,Close,Volume,Change
2025-12-10,45000,47000,26700,27100,16294211,
2025-12-11,25650,26650,21900,22300,3089832,-0.1771217712177122
2025-12-12,22500,26800,21900,24950,5003595,0.1188340807174888
2025-12-15,24950,25750,22300,22300,998226,-0.1062124248496994
2025-12-16,23350,26750,23150,24000,4599164,0.0762331838565022
2025-12-17,24350,28000,24100,24700,4423906,0.0291666666666665
2025-12-18,23800,25350,21400,21800,1058842,-0.117408906882591
2025-12-19,22100,22700,20050,20350,666649,-0.0665137614678899
2025-12-22,20150,20500,19030,19030,417811,-0.0648648648648648
2025-12-23,19050,22500,19050,20600,1937429,0.0825013137151866
2025-12-24,20600,20950,19010,19020,512708,-0.0766990291262136
2025-12-26,18000,18300,16400,16490,1163156,-0.133017875920084
2025-12-29,16490,16700,15470,15620,701579,-0.0527592480291085
2025-12-30,15700,16130,15000,15040,455613,-0.0371318822023047
2026-01-02,15040,17440,14850,16090,1794202,0.0698138297872339
2026-01-05,16120,17500,15700,16150,694706,0.0037290242386576
2026-01-06,16250,19920,15550,19270,6568880,0.193188854489164
2026-01-07,19170,22750,18440,20100,5446675,0.043072132848988
2026-01-08,20150,21000,18000,18000,1166887,-0.1044776119402984
2026-01-09,18100,18600,16740,16800,525715,-0.0666666666666666
2026-01-12,16770,19270,16080,18000,4588439,0.0714285714285714
2026-01-13,18570,20500,18500,19470,3893235,0.0816666666666667
2026-01-14,19480,20300,18380,18400,1119704,-0.0549563430919363
2026-01-15,18320,19390,17100,18420,625036,0.001086956521739
2026-01-16,18420,19400,17600,18500,800566,0.004343105320304
2026-01-19,18580,19660,18530,19180,646589,0.0367567567567568
2026-01-20,19170,19170,17900,17920,630766,-0.0656934306569343
2026-01-21,17400,18790,17150,17800,639332,-0.0066964285714286
2026-01-22,18760,23100,18760,22250,6047877,0.25
2026-01-23,22650,24950,21650,23500,5274060,0.0561797752808987
2026-01-26,23050,23350,21200,21900,1315600,-0.0680851063829787
2026-01-27,21550,24400,21450,23400,2228570,0.0684931506849315
2026-01-28,23500,28300,23100,25800,6688036,0.1025641025641026
2026-01-29,25800,26600,24450,25150,1128362,-0.0251937984496124
2026-01-30,25050,27100,24650,26100,1724373,0.0377733598409542
2026-02-02,26050,27100,23000,23000,1007928,-0.1187739463601532
