Date,Open,High,Low,Close,Volume,Change
2025-08-14,2310,2700,1981,1984,28446301,
2025-08-18,1983,1990,1982,1986,561061,0.001008064516129
2025-08-19,1985,1989,1983,1987,205493,0.0005035246727089
2025-08-20,1987,1989,1985,1989,161972,0.0010065425264218
2025-08-21,1989,1996,1986,1990,281461,0.0005027652086475
2025-08-22,1991,1991,1986,1989,141158,-0.000502512562814
2025-08-25,1990,1996,1989,1995,216348,0.0030165912518853
2025-08-26,1995,1998,1990,1996,77586,0.0005012531328321
2025-08-27,1996,1999,1995,1998,66461,0.001002004008016
2025-08-28,1998,2000,1998,1999,50297,0.0005005005005005
2025-08-29,1999,2000,1997,1999,43314,0.0
2025-09-01,2000,2005,1996,1998,48985,-0.0005002501250624
2025-09-02,1998,2005,1998,2000,69678,0.001001001001001
2025-09-03,2000,2005,2000,2005,41332,0.0024999999999999
2025-09-04,2005,2005,2000,2005,40092,0.0
2025-09-05,2000,2005,2000,2005,24128,0.0
2025-09-08,2000,2015,2000,2015,110057,0.0049875311720697
2025-09-09,2000,2015,2000,2015,35785,0.0
2025-09-10,2010,2025,2010,2025,42740,0.0049627791563275
2025-09-11,2020,2035,2020,2035,41067,0.0049382716049382
2025-09-12,2035,2040,2030,2035,26887,0.0
2025-09-15,2035,2040,2035,2040,19575,0.0024570024570025
2025-09-16,2040,2050,2040,2045,36639,0.0024509803921568
2025-09-17,2045,2050,2040,2045,27353,0.0
2025-09-18,2045,2050,2040,2045,26217,0.0
2025-09-19,2040,2055,2040,2050,16915,0.0024449877750611
2025-09-22,2040,2050,2040,2040,4633,-0.0048780487804878
2025-09-23,2045,2050,2040,2040,5960,0.0
2025-09-24,2045,2045,2040,2040,26431,0.0
2025-09-25,2040,2050,2040,2045,24064,0.0024509803921568
2025-09-26,2045,2045,2040,2045,34750,0.0
2025-09-29,2045,2050,2045,2050,11878,0.0024449877750611
2025-09-30,2050,2050,2045,2050,27132,0.0
2025-10-01,2045,2055,2045,2050,7847,0.0
2025-10-02,2045,2050,2045,2045,12383,-0.0024390243902439
2025-10-10,2045,2045,2030,2035,23020,-0.0048899755501222
2025-10-13,2040,2040,2030,2035,34500,0.0
2025-10-14,2040,2040,2025,2025,23446,-0.0049140049140049
2025-10-15,2025,2040,2025,2025,20758,0.0
2025-10-16,2030,2035,2025,2025,27402,0.0
2025-10-17,2025,2035,2020,2025,8447,0.0
2025-10-20,2020,2040,2020,2025,3083,0.0
2025-10-21,2040,2040,2030,2030,4373,0.0024691358024691
2025-10-22,2030,2035,2025,2030,5730,0.0
2025-10-23,2035,2040,2035,2040,5382,0.0049261083743843
2025-10-24,2030,2045,2030,2045,38143,0.0024509803921568
2025-10-27,2040,2045,2040,2045,5019,0.0
2025-10-28,2045,2045,2040,2040,9748,-0.002444987775061
2025-10-29,2040,2045,2035,2045,13243,0.0024509803921568
2025-10-30,2045,2050,2040,2050,41034,0.0024449877750611
2025-10-31,2040,2055,2040,2055,17066,0.0024390243902439
2025-11-03,2055,2060,2050,2055,11245,0.0
2025-11-04,2050,2055,2045,2050,2865,-0.0024330900243308
2025-11-05,2055,2065,2045,2065,39454,0.0073170731707317
2025-11-06,2065,2065,2055,2065,720,0.0
2025-11-07,2065,2065,2050,2055,9011,-0.0048426150121065
2025-11-10,2055,2065,2055,2065,13810,0.0048661800486617
2025-11-11,2055,2065,2050,2055,6933,-0.0048426150121065
2025-11-12,2055,2055,2050,2050,12720,-0.0024330900243308
2025-11-13,2050,2055,2045,2055,13230,0.0024390243902439
2025-11-14,2045,2055,2040,2055,1681,0.0
2025-11-17,2055,2055,2045,2045,10429,-0.0048661800486617
2025-11-18,2050,2055,2040,2045,19197,0.0
2025-11-19,2045,2050,2045,2050,1951,0.0024449877750611
2025-11-20,2050,2050,2045,2050,2520,0.0
2025-11-21,2040,2050,2035,2045,3364,-0.0024390243902439
2025-11-24,2035,2040,2035,2035,4601,-0.0048899755501222
2025-11-25,2035,2045,2030,2045,1133,0.0049140049140048
2025-11-26,2045,2050,2045,2050,1919,0.0024449877750611
2025-11-27,2050,2050,2040,2050,4934,0.0
2025-11-28,2050,2050,2035,2050,2993,0.0
2025-12-01,2050,2060,2050,2060,37012,0.0048780487804878
2025-12-02,2060,2080,2050,2080,29429,0.0097087378640776
2025-12-03,2080,2080,2055,2065,20934,-0.0072115384615384
2025-12-04,2065,2070,2055,2070,101118,0.0024213075060532
2025-12-05,2070,2085,2070,2085,1848,0.0072463768115942
2025-12-08,2085,2090,2070,2090,3097,0.0023980815347721
2025-12-09,2090,2090,2080,2085,1120,-0.0023923444976076
2025-12-10,2075,2080,2070,2070,1161,-0.0071942446043165
2025-12-11,2070,2075,2065,2075,18550,0.002415458937198
2025-12-12,2085,2085,2050,2050,29637,-0.0120481927710843
2025-12-15,2060,2080,2055,2065,13177,0.0073170731707317
2025-12-16,2075,2075,2055,2055,2315,-0.0048426150121065
2025-12-17,2055,2065,2050,2060,3399,0.002433090024331
2025-12-18,2050,2060,2050,2050,397,-0.0048543689320388
2025-12-19,2050,2060,2045,2045,8176,-0.0024390243902439
2025-12-22,2050,2055,2045,2055,7104,0.0048899755501221
2025-12-23,2050,2055,2045,2055,1189,0.0
2025-12-24,2050,2060,2040,2060,1684,0.002433090024331
2025-12-26,2045,2060,2045,2060,375,0.0
2025-12-29,2060,2060,2055,2055,61,-0.0024271844660194
2025-12-30,2050,2055,2050,2055,1453,0.0
2026-01-02,2050,2060,2050,2055,1006,0.0
2026-01-05,2055,2065,2055,2065,3314,0.0048661800486617
2026-01-06,2065,2065,2060,2060,3584,-0.0024213075060532
2026-01-07,2065,2065,2060,2065,10030,0.0024271844660195
2026-01-08,2065,2065,2055,2065,1658,0.0
2026-01-09,2060,2070,2060,2070,12828,0.0024213075060532
2026-01-12,2055,2075,2055,2075,9876,0.002415458937198
2026-01-13,2075,2075,2070,2070,6366,-0.0024096385542168
2026-01-14,2070,2070,2065,2065,4982,-0.002415458937198
2026-01-15,2065,2070,2065,2065,3198,0.0
2026-01-16,2060,2075,2060,2065,13037,0.0
2026-01-19,2065,2075,2060,2070,4558,0.0024213075060532
2026-01-20,2075,2075,2070,2070,4006,0.0
2026-01-21,2070,2075,2065,2075,12903,0.002415458937198
2026-01-22,2075,2090,2070,2085,11148,0.0048192771084336
2026-01-23,2075,2090,2070,2090,16523,0.0023980815347721
2026-01-26,2075,2090,2075,2085,2426,-0.0023923444976076
2026-01-27,2085,2090,2070,2090,15538,0.0023980815347721
2026-01-28,2090,2090,2080,2080,3546,-0.0047846889952153
2026-01-29,2080,2095,2075,2075,6658,-0.0024038461538461
2026-01-30,2080,2090,2065,2090,14610,0.0072289156626506
2026-02-02,2090,2090,2080,2090,1088,0.0
2026-02-03,2080,2090,2080,2090,828,0.0
2026-02-04,2085,2095,2085,2090,1289,0.0
2026-02-05,2095,2095,2085,2090,1409,0.0
2026-02-06,2085,2095,2085,2090,3330,0.0
2026-02-09,2090,2100,2090,2100,1873,0.0047846889952152
2026-02-10,2100,2105,2095,2105,4140,0.0023809523809523
2026-02-11,2105,2105,2095,2100,4336,-0.002375296912114
2026-02-12,2100,2105,2100,2105,68,0.0023809523809523
2026-02-13,2105,2110,2100,2110,1085,0.002375296912114
2026-02-19,2110,2110,2090,2100,14880,-0.004739336492891
2026-02-20,2105,2105,2090,2095,223,-0.0023809523809523
2026-02-23,2105,2105,2095,2095,641,0.0
2026-02-24,2105,2105,2080,2080,4125,-0.0071599045346062
2026-02-25,2080,2110,2080,2105,9103,0.0120192307692308
2026-02-26,2095,2105,2095,2105,2284,0.0
2026-02-27,2105,2110,2095,2105,45186,0.0
