Date,Open,High,Low,Close,Volume,Change
2025-08-06,2565,3075,1984,1985,41345892,
2025-08-07,1985,1994,1975,1991,1299731,0.0030226700251889
2025-08-08,1992,1993,1984,1990,278759,-0.0005022601707684
2025-08-11,1991,1993,1984,1990,224477,0.0
2025-08-12,1990,1993,1985,1993,136893,0.0015075376884421
2025-08-13,1988,1993,1986,1987,99929,-0.0030105368790768
2025-08-14,1987,1990,1986,1987,73865,0.0
2025-08-18,1987,1991,1985,1988,117651,0.0005032712632109
2025-08-19,1988,1989,1985,1988,93019,0.0
2025-08-20,1988,1990,1984,1985,67794,-0.0015090543259557
2025-08-21,1985,1990,1983,1984,111466,-0.0005037783375314
2025-08-22,1984,1990,1984,1988,70621,0.002016129032258
2025-08-25,1988,1991,1985,1990,100442,0.0010060362173038
2025-08-26,1990,1994,1989,1992,75396,0.0010050251256281
2025-08-27,1989,1994,1989,1992,38057,0.0
2025-08-28,1992,1995,1990,1994,26948,0.001004016064257
2025-08-29,1992,1996,1992,1994,23676,0.0
2025-09-01,1994,1996,1990,1996,36795,0.0010030090270811
2025-09-02,1995,1996,1992,1992,17351,-0.002004008016032
2025-09-03,1992,1996,1991,1995,45937,0.0015060240963855
2025-09-04,1995,1997,1993,1995,19761,0.0
2025-09-05,1995,1998,1995,1995,47381,0.0
2025-09-08,1995,2000,1988,1997,49514,0.0010025062656642
2025-09-09,2000,2005,1995,2000,40581,0.0015022533800701
2025-09-10,2000,2005,2000,2005,24642,0.0024999999999999
2025-09-11,2000,2005,2000,2000,16744,-0.0024937655860348
2025-09-12,2000,2005,1998,2000,26880,0.0
2025-09-15,2005,2010,2000,2005,74925,0.0024999999999999
2025-09-16,2005,2005,2000,2005,36239,0.0
2025-09-17,2000,2005,2000,2005,34205,0.0
2025-09-18,2005,2005,1997,2000,58092,-0.0024937655860348
2025-09-19,2000,2000,1999,2000,19956,0.0
2025-09-22,2000,2005,1997,1998,6558,-0.001
2025-09-23,2005,2005,1994,1998,17332,0.0
2025-09-24,1997,2000,1997,2000,689,0.001001001001001
2025-09-25,2000,2000,1997,1999,4975,-0.0004999999999999
2025-09-26,1997,2000,1996,1998,10441,-0.0005002501250624
2025-09-29,1998,2005,1996,1999,60332,0.0005005005005005
2025-09-30,1999,2005,1997,2000,8306,0.0005002501250626
2025-10-01,2000,2005,1999,2005,10896,0.0024999999999999
2025-10-02,1998,2000,1998,1999,9894,-0.0029925187032419
2025-10-10,1999,2000,1996,1999,19192,0.0
2025-10-13,1999,2000,1998,2000,9782,0.0005002501250626
2025-10-14,2000,2000,1997,1999,10711,-0.0004999999999999
2025-10-15,1999,2000,1997,2000,6769,0.0005002501250626
2025-10-16,1999,2000,1997,1998,8590,-0.001
2025-10-17,1999,2000,1998,1998,6883,0.0
2025-10-20,1999,2000,1997,2000,35801,0.001001001001001
2025-10-21,1998,2005,1995,1995,27099,-0.0024999999999999
2025-10-22,2000,2000,1991,1998,10954,0.0015037593984963
2025-10-23,1995,1999,1995,1997,2194,-0.0005005005005005
2025-10-24,1997,1999,1995,1999,18818,0.00100150225338
2025-10-27,1999,2000,1998,1998,9558,-0.0005002501250624
2025-10-28,2000,2005,1994,1997,33949,-0.0005005005005005
2025-10-29,1997,2000,1997,2000,8985,0.0015022533800701
2025-10-30,1993,2005,1993,2000,18207,0.0
2025-10-31,1996,2005,1996,2000,7821,0.0
2025-11-03,2000,2000,1995,1998,37321,-0.001
2025-11-04,1998,2000,1998,1999,10885,0.0005005005005005
2025-11-05,1999,1999,1993,1995,66970,-0.00200100050025
2025-11-06,1995,1999,1994,1995,13988,0.0
2025-11-07,1995,1999,1994,1999,6904,0.0020050125313282
2025-11-10,1999,2000,1999,1999,8333,0.0
2025-11-11,1994,2000,1994,1999,27528,0.0
2025-11-12,1999,1999,1995,1996,2937,-0.0015007503751875
2025-11-13,1993,1997,1993,1995,11555,-0.000501002004008
2025-11-14,1996,1998,1994,1995,1804,0.0
2025-11-17,1994,1999,1994,1997,1992,0.0010025062656642
2025-11-18,1997,1998,1994,1995,7008,-0.00100150225338
2025-11-19,1992,1998,1992,1997,8395,0.0010025062656642
2025-11-20,1997,1997,1991,1996,2754,-0.00050075112669
2025-11-21,1995,1997,1994,1996,3796,0.0
2025-11-24,1996,1999,1991,1998,10275,0.001002004008016
2025-11-25,1998,1999,1981,1997,5938,-0.0005005005005005
2025-11-26,1989,1998,1989,1998,6520,0.0005007511266901
2025-11-27,1997,1999,1997,1998,7481,0.0
2025-11-28,1998,1999,1996,1998,4334,0.0
2025-12-01,1998,2010,1996,1996,22032,-0.0010010010010009
2025-12-02,1998,2015,1997,2005,44463,0.004509018036072
2025-12-03,2005,2010,2000,2005,13138,0.0
2025-12-04,2000,2015,2000,2015,41199,0.0049875311720697
2025-12-05,2015,2025,2005,2025,11384,0.0049627791563275
2025-12-08,2025,2030,2010,2015,4711,-0.0049382716049383
2025-12-09,2015,2020,2010,2015,1836,0.0
2025-12-10,2015,2015,2010,2015,3559,0.0
2025-12-11,2005,2010,1985,2005,11106,-0.0049627791563275
2025-12-12,2000,2005,1987,1999,18225,-0.0029925187032419
2025-12-15,1999,2005,1993,2000,70892,0.0005002501250626
2025-12-16,2000,2000,1990,1992,5018,-0.004
2025-12-17,1991,2000,1991,2000,6601,0.0040160642570281
2025-12-18,1993,1999,1993,1998,1419,-0.001
2025-12-19,1993,1999,1993,1998,1172,0.0
2025-12-22,1998,2005,1997,2005,16520,0.0035035035035035
2025-12-23,2000,2005,2000,2000,1879,-0.0024937655860348
2025-12-24,2000,2010,2000,2005,2523,0.0024999999999999
2025-12-26,2005,2005,2000,2005,1086,0.0
2025-12-29,2005,2005,2000,2005,2111,0.0
