Date,Open,High,Low,Close,Volume,Change
2025-12-22,3900,4965,2155,2210,67463423,
2025-12-23,2210,2210,1986,1999,2077938,-0.0954751131221719
2025-12-24,2000,2000,1982,1986,505398,-0.0065032516258128
2025-12-26,1994,2005,1982,2000,237574,0.0070493454179254
2025-12-29,1995,2000,1984,1986,225128,-0.007
2025-12-30,1986,1992,1984,1984,72597,-0.0010070493454179
2026-01-02,1984,1989,1980,1986,135742,0.001008064516129
2026-01-05,1986,1996,1981,1986,187401,0.0
2026-01-06,1980,1999,1978,1994,373497,0.0040281973816715
2026-01-07,1993,2010,1991,1999,135149,0.0025075225677031
2026-01-08,1993,1999,1987,1993,78813,-0.0030015007503751
2026-01-09,1992,1992,1983,1992,64596,-0.0005017561465128
2026-01-12,1988,1997,1983,1983,134746,-0.0045180722891565
2026-01-13,1983,1990,1977,1983,427754,0.0
2026-01-14,1979,1984,1973,1975,412883,-0.0040342914775592
2026-01-15,1979,1985,1975,1984,130588,0.0045569620253165
2026-01-16,1984,1986,1977,1980,125482,-0.0020161290322581
2026-01-19,1980,1982,1974,1976,142800,-0.002020202020202
2026-01-20,1983,1983,1965,1970,337780,-0.0030364372469635
2026-01-21,1980,1980,1965,1968,167598,-0.0010152284263958
2026-01-22,1969,1973,1965,1970,128077,0.0010162601626015
2026-01-23,1970,1977,1967,1972,103656,0.001015228426396
2026-01-26,1972,1983,1971,1982,136039,0.0050709939148072
2026-01-27,1982,1988,1977,1983,100671,0.0005045408678103
2026-01-28,1983,1995,1981,1995,112071,0.0060514372163389
2026-01-29,1996,1996,1981,1986,29580,-0.0045112781954886
2026-01-30,1982,1999,1981,1999,118730,0.0065458207452164
2026-02-02,2000,2000,1982,1996,89152,-0.0015007503751875
2026-02-03,1987,2000,1987,1995,64435,-0.000501002004008
2026-02-04,1998,1998,1990,1994,68503,-0.0005012531328321
2026-02-05,1994,1998,1994,1997,50283,0.0015045135406217
2026-02-06,1997,2005,1992,1997,49781,0.0
2026-02-09,1998,2010,1998,2005,48715,0.0040060090135203
2026-02-10,1997,2025,1996,2025,114832,0.0099750623441396
2026-02-11,2015,2030,2010,2025,48609,0.0
2026-02-12,2025,2045,2005,2040,123941,0.0074074074074073
2026-02-13,2040,2040,2020,2030,36508,-0.0049019607843137
2026-02-19,2030,2035,2025,2035,39533,0.0024630541871921
2026-02-20,2035,2035,2020,2020,31011,-0.0073710073710073
2026-02-23,2020,2030,2015,2020,27561,0.0
2026-02-24,2020,2025,2015,2020,16057,0.0
2026-02-25,2015,2025,2010,2015,38936,-0.0024752475247524
2026-02-26,2025,2025,2010,2025,53230,0.0049627791563275
2026-02-27,2025,2030,2010,2020,32588,-0.0024691358024691
2026-03-03,2020,2020,2010,2010,24346,-0.0049504950495049
2026-03-04,2010,2015,2005,2005,88345,-0.0024875621890547
2026-03-05,2005,2015,2000,2010,23544,0.0024937655860348
2026-03-06,2005,2020,2005,2015,46067,0.0024875621890547
2026-03-09,2015,2015,1985,1998,27207,-0.0084367245657568
2026-03-10,2000,2015,2000,2015,56399,0.0085085085085085
2026-03-11,2005,2015,2005,2015,2164,0.0
2026-03-12,2015,2015,2005,2012,1882,-0.0014888337468982
2026-03-13,2005,2020,2005,2020,6058,0.0039761431411531
2026-03-16,2015,2025,2015,2025,13681,0.0024752475247524
2026-03-17,2020,2020,2015,2020,672,-0.0024691358024691
2026-03-18,2020,2025,2010,2020,43947,0.0
2026-03-19,2020,2020,2010,2020,5374,0.0
2026-03-20,2010,2015,2005,2015,3746,-0.0024752475247524
2026-03-23,2010,2012,2005,2010,30190,-0.0024813895781637
2026-03-24,2010,2010,2000,2005,10550,-0.0024875621890547
2026-03-25,2005,2005,2000,2000,30379,-0.0024937655860348
2026-03-26,2000,2010,2000,2000,16772,0.0
2026-03-27,2000,2005,1999,2000,3964,0.0
2026-03-30,2005,2005,2000,2005,12805,0.0024999999999999
2026-03-31,2005,2005,1998,2005,3652,0.0
2026-04-01,2005,2005,2000,2000,4034,-0.0024937655860348
2026-04-02,2000,2005,1998,2005,7099,0.0024999999999999
2026-04-03,2000,2015,1999,2010,29939,0.0024937655860348
2026-04-06,2000,2010,2000,2005,13351,-0.0024875621890547
2026-04-07,2005,2005,2000,2000,19722,-0.0024937655860348
2026-04-08,2005,2005,2000,2005,2212,0.0024999999999999
2026-04-09,2005,2005,2000,2005,15906,0.0
2026-04-10,2005,2005,2000,2005,8070,0.0
2026-04-13,2005,2015,1999,2005,49358,0.0
2026-04-14,2005,2010,2000,2000,7254,-0.0024937655860348
2026-04-15,2000,2010,2000,2005,21778,0.0024999999999999
2026-04-16,2010,2010,2000,2010,9632,0.0024937655860348
2026-04-17,2005,2015,2000,2010,120006,0.0
2026-04-20,2010,2015,2005,2015,23169,0.0024875621890547
2026-04-21,2010,2015,2000,2010,46624,-0.0024813895781637
2026-04-22,2010,2015,2005,2010,3800,0.0
2026-04-23,2005,2015,1999,2000,15216,-0.0049751243781094
2026-04-24,2005,2015,2000,2000,23326,0.0
2026-04-27,2005,2005,1994,2005,25575,0.0024999999999999
2026-04-28,2005,2005,1996,2005,26689,0.0
2026-04-29,2005,2005,2000,2005,1316,0.0
2026-04-30,2000,2005,2000,2005,5856,0.0
2026-05-04,2005,2005,2000,2000,13950,-0.0024937655860348
2026-05-06,2000,2005,1996,1996,19782,-0.002
2026-05-07,1996,2000,1995,2000,5691,0.0020040080160319
2026-05-08,2000,2000,1995,2000,11676,0.0
2026-05-11,2000,2000,1991,1999,40736,-0.0004999999999999
2026-05-12,1996,1998,1985,1997,12684,-0.0010005002501251
2026-05-13,1998,1999,1987,1993,40224,-0.0020030045067601
2026-05-14,1993,1997,1992,1994,5012,0.0005017561465128
2026-05-15,1992,1996,1992,1993,13859,-0.0005015045135405
2026-05-18,1994,1998,1985,1994,22321,0.0005017561465128
2026-05-19,1994,1996,1987,1995,37763,0.0005015045135405
2026-05-20,1991,2005,1991,1996,65670,0.0005012531328321
2026-05-21,1996,2000,1996,1998,19002,0.001002004008016
2026-05-22,1993,2000,1993,1998,9970,0.0
2026-05-26,1998,2000,1996,1996,8539,-0.0010010010010009
2026-05-27,1996,2000,1995,1999,1099,0.001503006012024
2026-05-28,1987,2000,1987,1995,8751,-0.00200100050025
2026-05-29,2000,2005,1994,2005,21481,0.0050125313283209
2026-06-01 00:00:00,1989,2000,1989,1998,910,-0.003491271820448838
