Date,Open,High,Low,Close,Volume,Change
2025-12-19,4835,6500,2600,2715,78952586,
2025-12-22,2715,2715,2030,2055,2732740,-0.24309392265193375
2025-12-23,2055,2075,2035,2065,605458,0.0048661800486617945
2025-12-24,2065,2065,2045,2065,369784,0.0
2025-12-26,2065,2085,2065,2075,153712,0.004842615012106588
2025-12-29,2075,2075,2055,2060,148519,-0.0072289156626506035
2025-12-30,2060,2070,2060,2060,69859,0.0
2026-01-02,2060,2075,2055,2070,79119,0.004854368932038833
2026-01-05,2060,2075,2035,2050,1935719,-0.009661835748792313
2026-01-06,2050,2075,2045,2065,156956,0.007317073170731714
2026-01-07,2060,2070,2060,2070,48287,0.002421307506053294
2026-01-08,2065,2075,2065,2070,39443,0.0
2026-01-09,2075,2085,2070,2070,74110,0.0
2026-01-12,2070,2090,2070,2090,40043,0.009661835748792313
2026-01-13,2085,2095,2085,2090,42466,0.0
2026-01-14,2085,2095,2085,2095,39877,0.0023923444976077235
2026-01-15,2095,2105,2085,2095,38383,0.0
2026-01-16,2095,2115,2095,2100,14470,0.0023866348448686736
2026-01-19,2105,2120,2100,2115,29009,0.0071428571428571175
2026-01-20,2120,2130,2110,2130,26482,0.007092198581560183
2026-01-21,2110,2125,2110,2115,69923,-0.007042253521126751
2026-01-22,2115,2130,2115,2120,68150,0.0023640661938533203
2026-01-23,2120,2145,2120,2135,22531,0.007075471698113178
2026-01-26,2135,2155,2120,2140,38877,0.0023419203747072626
2026-01-27,2140,2170,2130,2145,27687,0.002336448598130758
2026-01-28,2145,2165,2135,2135,18372,-0.004662004662004615
2026-01-29,2135,2160,2135,2150,17979,0.007025761124121788
2026-01-30,2150,2205,2150,2180,85341,0.013953488372093092
2026-02-02,2195,2195,2135,2140,21951,-0.01834862385321101
2026-02-03,2130,2170,2130,2170,56027,0.014018691588784993
2026-02-04,2155,2170,2140,2160,29192,-0.004608294930875556
2026-02-05,2150,2160,2150,2155,8887,-0.0023148148148147696
2026-02-06,2160,2170,2150,2160,21047,0.002320185614849146
2026-02-09,2150,2195,2150,2180,35656,0.0092592592592593
2026-02-10,2155,2185,2150,2185,16963,0.002293577981651307
2026-02-11,2185,2190,2160,2165,14666,-0.009153318077803174
2026-02-12,2160,2190,2160,2180,29844,0.006928406466512715
2026-02-13,2195,2195,2165,2165,14047,-0.006880733944954143
2026-02-19,2165,2175,2155,2170,13136,0.002309468822170979
2026-02-20,2155,2195,2155,2180,63851,0.004608294930875667
2026-02-23,2180,2180,2160,2170,14161,-0.004587155963302725
2026-02-24,2170,2170,2150,2160,7458,-0.004608294930875556
2026-02-25,2160,2160,2155,2160,8851,0.0
2026-02-26,2155,2155,2140,2150,11907,-0.00462962962962965
2026-02-27,2145,2180,2140,2145,13483,-0.0023255813953488857
2026-03-03,2135,2160,2135,2150,16913,0.002331002331002363
2026-03-04,2140,2155,2125,2130,32534,-0.009302325581395321
2026-03-05,2125,2150,2125,2140,15756,0.0046948356807512415
2026-03-06,2120,2145,2120,2140,7885,0.0
2026-03-09,2140,2150,2120,2145,30426,0.002336448598130758
2026-03-10,2130,2155,2130,2150,4498,0.002331002331002363
2026-03-11,2150,2160,2150,2160,15297,0.0046511627906977715
2026-03-12,2155,2155,2145,2155,3219,-0.0023148148148147696
2026-03-13,2155,2160,2135,2155,9856,0.0
2026-03-16,2150,2160,2150,2160,10948,0.002320185614849146
2026-03-17,2145,2155,2135,2155,750,-0.0023148148148147696
2026-03-18,2155,2160,2140,2155,5001,0.0
2026-03-19,2150,2155,2135,2150,19685,-0.002320185614849146
2026-03-20,2140,2160,2140,2150,8014,0.0
2026-03-23,2145,2160,2145,2150,13831,0.0
2026-03-24,2145,2160,2145,2160,17165,0.0046511627906977715
2026-03-25,2150,2155,2145,2150,6829,-0.00462962962962965
2026-03-26,2150,2175,2150,2170,42091,0.009302325581395321
2026-03-27,2165,2175,2155,2175,10411,0.0023041474654377225
2026-03-30,2170,2175,2165,2165,14327,-0.0045977011494252595
2026-03-31,2145,2190,2145,2185,26234,0.009237875288683695
2026-04-01,2185,2195,2170,2190,72223,0.0022883295194509046
2026-04-02,2170,2190,2170,2190,9431,0.0
2026-04-03,2170,2205,2170,2200,16765,0.004566210045662045
2026-04-06,2180,2200,2180,2195,17609,-0.002272727272727315
2026-04-07,2195,2205,2195,2200,27313,0.002277904328018332
2026-04-08,2200,2205,2190,2200,11194,0.0
2026-04-09,2200,2205,2190,2200,4193,0.0
2026-04-10,2200,2200,2180,2190,4348,-0.004545454545454519
2026-04-13,2180,2185,2160,2180,16714,-0.004566210045662156
2026-04-14,2175,2180,2170,2180,1928,0.0
2026-04-15,2175,2180,2145,2170,6690,-0.004587155963302725
2026-04-16,2165,2170,2155,2155,24328,-0.00691244239631339
2026-04-17,2155,2175,2145,2160,7431,0.002320185614849146
2026-04-20,2160,2175,2160,2160,21597,0.0
2026-04-21,2160,2165,2160,2165,296,0.0023148148148148806
2026-04-22,2165,2165,2155,2165,2332,0.0
2026-04-23,2160,2160,2145,2155,9427,-0.004618937644341847
2026-04-24,2145,2150,2140,2150,8317,-0.002320185614849146
2026-04-27,2140,2140,2105,2130,35600,-0.009302325581395321
2026-04-28,2125,2125,2110,2120,40220,-0.0046948356807511304
2026-04-29,2115,2145,2115,2125,27224,0.002358490566037652
2026-04-30,2140,2140,2120,2135,8577,0.004705882352941115
2026-05-04,2135,2145,2135,2145,48837,0.004683840749414525
2026-05-06,2115,2145,2115,2145,321,0.0
2026-05-07,2145,2145,2110,2145,2465,0.0
2026-05-08,2130,2135,2110,2135,8989,-0.004662004662004615
2026-05-11,2140,2140,2095,2125,21080,-0.004683840749414525
2026-05-12,2125,2125,2095,2120,3005,-0.0023529411764705577
2026-05-13,2115,2145,2115,2145,34183,0.011792452830188704
2026-05-14,2135,2145,2115,2140,14639,-0.002331002331002363
2026-05-15,2140,2140,2115,2125,12106,-0.007009345794392496
2026-05-18,2120,2150,2115,2140,25359,0.007058823529411784
2026-05-19,2140,2140,2115,2130,5773,-0.004672897196261627
2026-05-20,2130,2140,2120,2125,9397,-0.0023474178403756207
2026-05-21,2125,2145,2105,2130,34389,0.0023529411764706687
2026-05-22,2120,2150,2120,2150,7844,0.009389671361502261
2026-05-26,2145,2145,2130,2130,5895,-0.009302325581395321
2026-05-27,2130,2132,2125,2130,3458,0.0
2026-05-28,2130,2140,2120,2130,3879,0.0
2026-05-29,2125,2155,2120,2145,25022,0.007042253521126751
