Date,Open,High,Low,Close,Volume,Change
2025-12-11,3015,3850,1981,1985,69568623,
2025-12-12,1991,1992,1979,1982,1983495,-0.0015113350125944836
2025-12-15,1981,1995,1979,1985,442645,0.0015136226034309086
2025-12-16,1981,1986,1978,1984,379920,-0.0005037783375314575
2025-12-17,1981,1987,1979,1984,218611,0.0
2025-12-18,1983,1990,1979,1988,175495,0.002016129032258007
2025-12-19,1986,1988,1981,1985,96516,-0.0015090543259557165
2025-12-22,1985,1989,1980,1985,148072,0.0
2025-12-23,1985,1985,1981,1985,113369,0.0
2025-12-24,1984,1988,1983,1985,53992,0.0
2025-12-26,1984,1988,1984,1988,65236,0.0015113350125943725
2025-12-29,1988,1988,1982,1985,40277,-0.0015090543259557165
2025-12-30,1982,1985,1981,1985,44503,0.0
2026-01-02,1984,1991,1980,1990,34723,0.0025188916876575096
2026-01-05,1990,1990,1984,1987,61361,-0.0015075376884422509
2026-01-06,1985,1994,1984,1989,84530,0.0010065425264218497
2026-01-07,1989,1997,1985,1996,100787,0.0035193564605329186
2026-01-08,1996,1998,1993,1996,50400,0.0
2026-01-09,1998,1999,1995,1997,93148,0.0005010020040079333
2026-01-12,1996,2005,1995,1997,69066,0.0
2026-01-13,1997,2000,1991,1992,26631,-0.0025037556334501776
2026-01-14,1993,1995,1987,1988,22650,-0.002008032128514081
2026-01-15,1990,1995,1988,1989,15309,0.0005030181086518315
2026-01-16,1993,1994,1987,1991,19984,0.0010055304172951196
2026-01-19,1991,1996,1988,1992,25191,0.0005022601707684871
2026-01-20,1992,1995,1989,1995,44920,0.001506024096385561
2026-01-21,1995,1995,1983,1994,26864,-0.0005012531328321135
2026-01-22,1993,1995,1990,1993,40113,-0.0005015045135405849
2026-01-23,1993,1994,1990,1991,15557,-0.0010035122930256435
2026-01-26,1993,1997,1989,1997,26729,0.0030135610246107003
2026-01-27,1997,1998,1989,1996,25972,-0.0005007511266900133
2026-01-28,1995,1999,1989,1994,56877,-0.0010020040080159776
2026-01-29,1992,1995,1990,1991,22634,-0.0015045135406218657
2026-01-30,1991,1996,1987,1996,32784,0.0025113008538422132
2026-02-02,1996,1996,1990,1996,65132,0.0
2026-02-03,1996,1999,1990,1999,31794,0.0015030060120240218
2026-02-04,1999,2000,1996,1999,31733,0.0
2026-02-05,1995,1999,1995,1995,21621,-0.002001000500250094
2026-02-06,1994,1999,1993,1999,14449,0.002005012531328232
2026-02-09,1999,2005,1997,2005,78505,0.0030015007503751967
2026-02-10,2005,2005,2000,2005,60028,0.0
2026-02-11,2000,2020,2000,2010,55703,0.0024937655860348684
2026-02-12,2010,2020,2010,2015,49997,0.0024875621890547706
2026-02-13,2015,2030,2010,2030,60225,0.007444168734491274
2026-02-19,2030,2050,2030,2040,26625,0.0049261083743843415
2026-02-20,2040,2045,2030,2045,25011,0.002450980392156854
2026-02-23,2045,2050,2035,2045,18982,0.0
2026-02-24,2050,2050,2035,2040,6905,-0.0024449877750610804
2026-02-25,2040,2050,2030,2045,37404,0.002450980392156854
2026-02-26,2045,2045,2030,2040,9876,-0.0024449877750610804
2026-02-27,2030,2045,2030,2045,11670,0.002450980392156854
2026-03-03,2040,2040,2030,2030,9619,-0.007334963325183352
2026-03-04,2035,2035,2005,2005,32101,-0.012315270935960632
2026-03-05,2005,2020,2005,2020,21772,0.007481296758104827
2026-03-06,2010,2035,2010,2030,26754,0.004950495049504955
2026-03-09,2030,2030,2010,2020,33499,-0.0049261083743842304
2026-03-10,2010,2025,2010,2020,11329,0.0
2026-03-11,2010,2020,2010,2020,7119,0.0
2026-03-12,2020,2025,2015,2025,6066,0.0024752475247524774
2026-03-13,2025,2025,2015,2020,3900,-0.0024691358024691024
