Date,Open,High,Low,Close,Volume,Change
2026-01-21,4890,8000,4245,7200,81490307,
2026-01-22,7710,9300,5040,5040,17902146,-0.3
2026-01-23,4740,6230,3700,4130,14809244,-0.1805555555555555
2026-01-26,4145,5050,3910,4170,3824879,0.0096852300242131
2026-01-27,4460,4650,4095,4110,1352129,-0.0143884892086331
2026-01-28,4220,4350,3760,3810,1213255,-0.072992700729927
2026-01-29,3750,3865,3290,3370,1484210,-0.115485564304462
2026-01-30,3360,3360,3000,3000,830844,-0.1097922848664688
2026-02-02,2940,3750,2740,3005,3770328,0.0016666666666667
2026-02-03,3160,3735,3075,3400,3469808,0.1314475873544094
2026-02-04,3400,3830,3400,3475,1261705,0.0220588235294116
2026-02-05,2890,3110,2435,2440,6590412,-0.297841726618705
2026-02-06,2485,2645,2115,2180,1700406,-0.1065573770491803
2026-02-09,2230,2255,2075,2115,968953,-0.0298165137614678
2026-02-10,2165,2170,2065,2115,495045,0.0
2026-02-11,2115,2135,2070,2085,284475,-0.0141843971631205
2026-02-12,2085,2135,2060,2135,391182,0.0239808153477218
2026-02-13,2135,2700,2135,2190,5069564,0.0257611241217798
2026-02-19,2220,2260,2105,2130,617916,-0.0273972602739726
2026-02-20,2160,2205,2135,2140,446462,0.0046948356807512
2026-02-23,2165,2175,2115,2115,244220,-0.0116822429906542
2026-02-24,2120,2130,2095,2105,303791,-0.0047281323877068
2026-02-25,2110,2115,2065,2075,427526,-0.0142517814726841
2026-02-26,2080,2095,2070,2075,273506,0.0
2026-02-27,2080,2080,2055,2065,230836,-0.0048192771084337
2026-03-03,2060,2065,2025,2030,345134,-0.0169491525423728
2026-03-04,2030,2040,2000,2010,638751,-0.0098522167487684
2026-03-05,2010,2045,2010,2025,260207,0.007462686567164
2026-03-06,2015,2060,2015,2060,212627,0.0172839506172839
2026-03-09,2060,2060,2020,2045,155975,-0.0072815533980582
2026-03-10,2055,2075,2040,2065,201764,0.0097799511002445
2026-03-11,2065,2065,2040,2050,168723,-0.0072639225181597
2026-03-12,2050,2055,2035,2050,95149,0.0
2026-03-13,2050,2050,2035,2045,77570,-0.0024390243902439
2026-03-16,2035,2060,2035,2055,139147,0.0048899755501221
2026-03-17,2055,2060,2040,2050,86328,-0.0024330900243308
2026-03-18,2050,2050,2035,2040,107403,-0.0048780487804878
2026-03-19,2040,2045,2030,2040,101377,0.0
2026-03-20,2040,2060,2030,2055,115891,0.0073529411764705
2026-03-23,2050,2050,2030,2035,130695,-0.0097323600973235
2026-03-24,2040,2045,2035,2035,44900,0.0
2026-03-25,2035,2045,2035,2040,65504,0.0024570024570025
2026-03-26,2040,2040,2030,2040,60756,0.0
2026-03-27,2040,2040,2020,2025,166353,-0.0073529411764705
2026-03-30,2025,2035,2015,2020,66789,-0.0024691358024691
2026-03-31,2020,2025,2005,2020,116104,0.0
2026-04-01,2015,2025,2015,2020,59656,0.0
2026-04-02,2020,2020,2005,2015,102577,-0.0024752475247524
2026-04-03,2015,2030,2005,2025,55358,0.0049627791563275
2026-04-06,2020,2025,2015,2025,34901,0.0
2026-04-07,2025,2025,2015,2020,43845,-0.0024691358024691
2026-04-08,2020,2025,2015,2015,66332,-0.0024752475247524
2026-04-09,2015,2025,2015,2025,60110,0.0049627791563275
2026-04-10,2025,2025,2015,2020,39730,-0.0024691358024691
2026-04-13,2020,2030,2010,2030,72894,0.0049504950495049
2026-04-14,2030,2030,2020,2025,31250,-0.0024630541871921
2026-04-15,2025,2030,2020,2020,60683,-0.0024691358024691
2026-04-16,2020,2030,2015,2020,56280,0.0
2026-04-17,2020,2040,2015,2040,210164,0.0099009900990099
2026-04-20,2040,2040,2020,2030,37593,-0.0049019607843137
2026-04-21,2030,2035,2020,2035,67638,0.0024630541871921
2026-04-22,2030,2030,2020,2030,25472,-0.0024570024570024
2026-04-23,2025,2030,2015,2020,59588,-0.0049261083743842
2026-04-24,2015,2030,2015,2025,45601,0.0024752475247524
2026-04-27,2015,2025,2015,2015,58587,-0.0049382716049383
2026-04-28,2015,2020,2010,2015,37148,0.0
2026-04-29,2015,2020,2010,2020,41303,0.0024813895781636
2026-04-30,2020,2020,2010,2015,43737,-0.0024752475247524
2026-05-04,2010,2020,2010,2015,46738,0.0
2026-05-06,2010,2015,2005,2010,56676,-0.0024813895781637
2026-05-07,2005,2015,2000,2015,104251,0.0024875621890547
2026-05-08,2015,2015,2000,2005,32986,-0.0049627791563275
2026-05-11,2005,2015,2000,2015,122287,0.0049875311720697
2026-05-12,2005,2015,2005,2005,37314,-0.0049627791563275
2026-05-13,2005,2020,2000,2015,51354,0.0049875311720697
2026-05-14,2010,2010,2000,2005,36377,-0.0049627791563275
2026-05-15,2005,2010,1998,2000,65319,-0.0024937655860348
2026-05-18,2000,2000,1994,1997,51925,-0.0014999999999999
2026-05-19,1997,2000,1997,1998,25170,0.0005007511266901
2026-05-20,1998,2010,1995,2000,70736,0.001001001001001
2026-05-21,2000,2005,1997,2005,28960,0.0024999999999999
2026-05-22,2005,2005,1997,1999,24599,-0.0029925187032419
2026-05-26,1995,2005,1992,2000,50104,0.0005002501250626
2026-05-27,2000,2005,1993,1997,27218,-0.0014999999999999
2026-05-28,1995,2000,1993,1997,19558,0.0
2026-05-29,1997,2010,1992,2000,54494,0.0015022533800701
2026-06-01 00:00:00,2000,2000,1990,1995,34309,-0.0024999999999999467
