Date,Open,High,Low,Close,Volume,Change
2022-04-28,41600,45500,41000,43450,184729,
2022-04-29,43750,45250,43600,44850,33628,0.0322209436133487
2022-05-02,44800,44800,43750,44300,17659,-0.0122630992196209
2022-05-03,43500,43650,42250,42300,27285,-0.0451467268623024
2022-05-04,42600,43100,42250,42800,9533,0.011820330969267
2022-05-06,43050,43050,41200,42100,8886,-0.0163551401869158
2022-05-09,41800,41800,40650,41000,11832,-0.0261282660332541
2022-05-10,40650,41450,39850,41000,6816,0.0
2022-05-11,40400,41000,40000,41000,4831,0.0
2022-05-12,41000,41100,40200,40300,7641,-0.0170731707317073
2022-05-13,39900,41250,39900,40700,2478,0.0099255583126551
2022-05-16,40700,41000,40200,40200,2428,-0.0122850122850123
2022-05-17,40200,41000,39950,40200,2929,0.0
2022-05-18,41000,41000,39450,39650,8399,-0.013681592039801
2022-05-19,39000,40200,38100,38450,8710,-0.030264817150063
2022-05-20,39750,39750,37800,38200,12130,-0.0065019505851755
2022-05-23,38200,38200,37750,38000,2711,-0.0052356020942407
2022-05-24,38900,38900,38200,38350,5313,0.0092105263157895
2022-05-25,38400,39500,38050,39300,9126,0.0247718383311603
2022-05-26,38800,39850,38800,39100,1654,-0.005089058524173
2022-05-27,39800,40000,39100,39500,3265,0.0102301790281329
2022-05-30,39600,40050,39600,40000,1970,0.0126582278481013
2022-05-31,40000,40550,39700,40200,6343,0.0049999999999998
2022-06-02,40200,40300,39050,39150,3359,-0.0261194029850746
2022-06-03,39250,39450,38800,39300,3314,0.0038314176245211
2022-06-07,39300,39300,38000,38400,3067,-0.0229007633587786
2022-06-08,38350,39900,38200,38350,1893,-0.0013020833333333
2022-06-09,38350,38600,37950,38250,2223,-0.0026075619295958
2022-06-10,38150,39000,38100,38650,2357,0.0104575163398692
2022-06-13,37700,39200,36900,37300,5133,-0.0349288486416559
2022-06-14,36400,37250,36000,37000,4929,-0.0080428954423592
2022-06-15,37800,37800,35800,36250,4525,-0.0202702702702702
2022-06-16,37850,37850,36000,36000,3082,-0.0068965517241379
2022-06-17,34450,36000,34450,35850,4844,-0.0041666666666666
2022-06-20,35900,35900,33950,34850,4746,-0.0278940027894002
2022-06-21,35000,35450,34250,34850,4038,0.0
2022-06-22,34850,34850,33600,33650,4145,-0.0344332855093256
2022-06-23,33650,33650,32400,32900,3635,-0.0222882615156018
2022-06-24,33250,35000,32900,34200,1966,0.0395136778115501
2022-06-27,34900,35500,33500,34900,3053,0.0204678362573098
2022-06-28,35300,35350,34400,34900,1792,0.0
2022-06-29,34900,35150,34000,34850,2115,-0.0014326647564469
2022-06-30,34850,35750,34600,35150,7829,0.0086083213773313
2022-07-01,35150,36900,34600,35400,5750,0.0071123755334281
2022-07-04,35400,35400,33750,34250,2005,-0.0324858757062146
2022-07-05,33900,34850,33900,34250,3101,0.0
2022-07-06,34900,34900,33750,33750,1203,-0.0145985401459853
2022-07-07,33750,34300,33750,34150,2136,0.0118518518518517
2022-07-08,34500,34500,34050,34250,2450,0.0029282576866764
2022-07-11,34300,34450,33800,34200,1042,-0.0014598540145985
2022-07-12,33800,34450,33250,33600,1194,-0.0175438596491228
2022-07-13,33550,33900,33200,33500,1309,-0.0029761904761904
2022-07-14,33500,33850,33250,33300,942,-0.0059701492537312
2022-07-15,34900,34950,33050,33250,1021,-0.0015015015015015
2022-07-18,33400,34000,31750,33600,1559,0.0105263157894737
2022-07-19,33600,34050,32550,33800,986,0.0059523809523809
2022-07-20,34150,34200,33550,34000,2465,0.0059171597633136
2022-07-21,34450,34450,33750,34200,1163,0.0058823529411764
2022-07-22,34000,34300,33950,34000,637,-0.0058479532163743
2022-07-25,33650,34150,33650,33750,1026,-0.0073529411764705
2022-07-26,33750,34000,33600,33900,812,0.0044444444444444
